epoch,accuracy,loss,val_accuracy,val_loss
0,0.36396345,1.3360587254541916,0.43227667,1.3014622119386876
1,0.6260725,1.0280184209462253,0.6023055,0.9845819480137454
2,0.7971215,0.5884886655390444,0.6887608,0.7995167264677262
3,0.85662884,0.4077121942385788,0.7002882,0.8379513695191925
4,0.8859673,0.327525355455917,0.6801153,0.8509744043308994
5,0.9180736,0.2598785629875931,0.69164264,0.9077164534189516
6,0.92776084,0.21770486328828179,0.6829971,0.9539022653521997
7,0.943814,0.18200453215116547,0.6743516,0.9886220824134453
8,0.953778,0.15646316146969366,0.67723346,1.0442434901462851
9,0.95876,0.13769966451136187,0.6685879,1.10792013152532
10,0.96318847,0.11863365647306477,0.6743516,1.24015711020324
11,0.9662331,0.11167599389898193,0.6801153,1.263973474846106
12,0.96983117,0.09883412143224302,0.6685879,1.33295827296694
13,0.97204536,0.09622997763973176,0.6685879,1.3663761114180948
14,0.9739828,0.08667963897665551,0.67146975,1.3951489801709178
15,0.97342926,0.08964614601691871,0.6801153,1.437332944498969
16,0.9745364,0.08196108618587743,0.6685879,1.4470696270637622
17,0.9742596,0.08110634160867085,0.67723346,1.512032672719928
18,0.97508997,0.07387257714433879,0.6685879,1.5831871486191105
19,0.97508997,0.08286735886455802,0.65129685,1.579675156376204
20,0.9767506,0.07095314318985943,0.6829971,1.5694600666634289
21,0.9753667,0.07158442660717672,0.67146975,1.5820030736648383
22,0.97647387,0.06908159127957457,0.6628242,1.6312138570488701
23,0.9756435,0.0629769422790799,0.6628242,1.6455337599306354
24,0.9778577,0.06671081876153848,0.66570604,1.6424770441110266
